model,RMSE,MAE,MAP@10,NDCG@10,Precision@10,Recall@10,HitRate@10,Coverage@10,fit_seconds,eval_seconds
Baseline (bias),0.8998660574239099,0.708072689686232,0.018247209208229778,0.05843423088977277,0.0669342737094838,0.03182320685927646,0.4803171268507403,0.042608695652173914,0.2,2.2
ALS (MF),0.8291202113647551,0.6417246169067826,0.10089908839260069,0.20394153482519778,0.17528261304521808,0.08400089054042914,0.7856142456982793,0.39217391304347826,67.8,2.4
Item-based KNN CF,0.8428107437716348,0.6567202504695951,0.023577006821562087,0.061902208054493174,0.06431822729091637,0.029205352823048095,0.40378651460584236,0.6017391304347826,2.6,7.6
Funk-SVD (MF + SGD),0.8206429800735762,0.6404879257978453,0.05458202721202488,0.12977996014164653,0.13017206882753102,0.06276235956431836,0.6806222488995598,0.6426086956521739,226.7,2.1
